anime_id,title,type,score,members,favorites,genres,themes,demographics,studios
5914,Kanamemo,tv,6.85,38750,75,"['Comedy', 'Ecchi', 'Girls Love', 'Slice of Life']",['CGDCT'],[],['feel.']
8068,Kuroshitsuji Picture Drama,special,7.07,22068,48,['Supernatural'],['Mythology'],[],['A-1 Pictures']
4156,Ichigo Mashimaro Episode 0,special,7.04,15062,8,['Comedy'],['CGDCT'],[],['Daume']
1688,Nanatsu-iro★Drops,tv,7.02,22500,94,['Romance'],"['Mahou Shoujo', 'School']",[],['Diomedéa']
40486,Strike the Blood: Kieta Seisou-hen,ova,6.93,28970,30,"['Action', 'Ecchi', 'Fantasy', 'Supernatural']","['Harem', 'Vampire']",[],['Connect']
39489,Spriggan (ONA),ona,6.87,41220,112,"['Action', 'Adventure', 'Sci-Fi']",['Military'],['Shounen'],['David Production']
8986,Supernatural The Animation,ova,6.96,31590,69,"['Action', 'Horror', 'Supernatural']",['Mythology'],[],['Madhouse']
1602,Soukou no Strain,tv,7.02,22442,77,"['Drama', 'Ecchi', 'Sci-Fi']","['Mecha', 'Military', 'Space']",[],['Studio Fantasia']
31370,Tonkatsu DJ Agetarou,tv,7.13,14040,101,['Comedy'],['Music'],['Shounen'],['Studio Deen']
5712,Tanoshii Muumin Ikka Bouken Nikki,tv,7.47,6476,18,"['Adventure', 'Fantasy', 'Slice of Life']",[],['Kids'],['Telescreen']
1894,Yu☆Gi☆Oh!: Hikari no Pyramid,movie,6.59,73056,59,"['Adventure', 'Comedy', 'Fantasy']",['Strategy Game'],['Shounen'],['Gallop']
37964,Mayonaka no Occult Koumuin,tv,6.73,63988,109,"['Fantasy', 'Mystery']","['Mythology', 'Workplace']",['Shoujo'],['LIDENFILMS']
4765,Gunslinger Girl: Il Teatrino OVA,ova,6.97,23249,10,"['Action', 'Drama', 'Sci-Fi']",['Military'],[],['Artland']
39085,Aikagi The Animation,ova,7.17,12012,60,['Hentai'],[],[],['Seven']
49599,Ani ni Tsukeru Kusuri wa Nai! 5,ona,7.27,13192,28,['Comedy'],['School'],[],"['Planet Cartoon', 'Fever Creations']"
9347,Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho,ova,6.87,27248,15,"['Comedy', 'Fantasy', 'Romance']","['Harem', 'Vampire']",[],"['feel.', 'Zexcs']"
9865,Hetalia Axis Powers Fan Disc,ova,7.19,13479,20,['Comedy'],"['Historical', 'Parody']",[],['Studio Deen']
37914,Chikyuugai Shounen Shoujo,ona,6.85,35875,114,"['Adventure', 'Sci-Fi']","['Space', 'Survival']",[],['Production +h.']
51781,Boku no Hero Academia (ONA),ona,6.82,38614,51,['Sports'],"['School', 'Super Power', 'Team Sports']",['Shounen'],['Bones']
10106,Sweet Home: H na Oneesan wa Suki desu ka?,ova,7.15,14539,85,['Hentai'],['Harem'],[],['Lilix']
24075,Persona 4 the Golden Animation,tv,6.62,89867,151,"['Adventure', 'Mystery', 'Sci-Fi', 'Supernatural']","['School', 'Super Power']",[],['A-1 Pictures']
30641,Yankee-kun na Yamada-kun to Megane-chan to Majo,special,7.0,25584,11,['Comedy'],['School'],['Shounen'],['LIDENFILMS']
37307,K: Seven Stories Movie 6 - Circle Vision - Nameless Song,movie,7.2,19411,18,"['Action', 'Supernatural']",['Super Power'],[],['GoHands']
51614,Ao no Orchestra,tv,7.12,46504,203,['Drama'],"['Music', 'Performing Arts', 'School']",[],['Nippon Animation']
21395,Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,movie,7.37,5702,14,"['Award Winning', 'Comedy', 'Sci-Fi']",[],['Seinen'],['Shin-Ei Animation']
28619,Ranpo Kitan: Game of Laplace,tv,6.58,115732,330,"['Mystery', 'Suspense']","['Detective', 'Gore', 'Psychological']",[],['Lerche']
30825,Gakkou no Kaidan: Kubinashi Rider!! Shi no Noroi,special,7.01,15251,9,"['Horror', 'Mystery', 'Supernatural']",[],[],['Pierrot']
38235,Inazuma Eleven: Orion no Kokuin,tv,6.87,26667,105,['Sports'],['Team Sports'],[],['OLM']
31980,Okusama ga Seitokaichou! Seitokaichou to Ofuro Asobi,ova,6.73,45233,19,"['Comedy', 'Ecchi', 'Romance']",[],['Shounen'],['Seven']
29513,Aki no Kanade,movie,6.95,22046,26,['Slice of Life'],"['Music', 'School']",[],['J.C.Staff']
51662,Seika Jogakuin Kounin Sao Ojisan,ova,7.49,6356,63,['Hentai'],[],[],['T-Rex']
17831,Inu to Hasami wa Tsukaiyou,tv,6.53,145896,278,"['Comedy', 'Supernatural']",[],[],['Gonzo']
17391,Senyuu. Specials,special,6.99,17914,9,"['Action', 'Comedy', 'Fantasy']",[],['Shounen'],"['Ordet', 'LIDENFILMS']"
